HDR,18929,20250113,194,Ulverscroft Large Print Books Ltd,The Green,Bradgate Road,Anstey,Leicester,UK,LE7 7FU,GB,01162364325,
DTL,,1,9781399170123,80,,,,,,,,,
DTL,,2,9781444854497,100,,,,,,,,,
DTL,,3,9781785418723,20,,,,,,,,,
DTL,,4,9781444852646,60,,,,,,,,,
DTL,,5,9781399169455,40,,,,,,,,,
DTL,,6,9781444852455,40,,,,,,,,,
DTL,,7,9781444852417,40,,,,,,,,,
DTL,,8,9781399169448,40,,,,,,,,,
DTL,,9,9781444854763,80,,,,,,,,,
DTL,,10,9781444846546,20,,,,,,,,,
DTL,,11,9781444846560,20,,,,,,,,,
